Title,Published_date,Views,Likes,Dislikes,Comments,video_id
Rs 8 lakh Honda SUV coming!,2022-11-08T14:30:02Z,49359,4696,,188,7X-1Z_mWnek
Mahindra XUV700 ka Super Feature !,2022-11-07T14:30:27Z,69879,7302,,26,z8v6CiA7GQw
Best Rs 17 lakh SUV in India to buy - LIVE,2022-11-06T08:13:02Z,21538,1173,,44,BV--_bD_Al4
Maruti Brezza’s Awesome POWER,2022-11-05T14:30:14Z,125539,11158,,111,h4iR-qz0aj0
WAIT FOR: Top 5 SUVs Coming NEXT YEAR,2022-11-04T14:30:12Z,206875,21568,,202,i0OcZ91Kevk
Mahindra Scorpio N vs Mahindra XUV700 - Which is better?,2022-11-04T06:30:04Z,127573,3920,,186,LxcNcdNDgOo
When Idiots buy CAR!,2022-11-03T14:30:20Z,809114,48494,,1665,yT-SGYX5WdE
Most Luxurious Car in the World!,2022-11-02T10:30:32Z,145254,4112,,187,j4-hPRNJ8ow
Petrol ya Diesel engine? Which is best?,2022-10-31T15:12:50Z,40389,3132,,55,CUVFSEigSX0
How fast is the Mahindra XUV300 TGDI?,2022-10-31T09:30:03Z,53917,3852,,41,EyM7RGVBYlw
Best Rs 17 lakh SUV in India to buy - LIVE,2022-10-30T05:34:51Z,24308,988,,41,W7HQPJQfe5Y
Spare Tyre Gaadi ke niche se - How to REMOVE?,2022-10-29T14:30:17Z,43932,3807,,52,n1AhjG0_Lio
Toyota Fortuner vs Jeep Meridian Comparison  - Most Detailed!!!,2022-10-28T06:45:00Z,123879,4425,,277,BUiKS5NC8Qw
Cool your car quickly without AC,2022-10-27T06:30:15Z,75851,6587,,104,jq1V-wZr9lU
You will be fined Rs 1000 for this!,2022-10-22T13:06:25Z,46711,2804,,74,9ohk-tkx1fE
Top 5 Cars in 10 Lakhs,2022-10-21T11:56:19Z,106183,9077,,154,_K8mUohdxRY
1000km Hydrogen Car Has Come!,2022-10-20T14:47:49Z,67101,5607,,94,GJAB2W6_Ics
This could be your next DREAM CAR!,2022-10-19T10:47:40Z,173006,4579,,152,CniPdr_TBZI
Rs 12 lakh SUV to compete with Creta?,2022-10-18T14:30:00Z,242009,3737,,412,1Swyxfuicbo
This is BIG Premium SUV - Coming to India!,2022-10-18T11:00:41Z,100347,2250,,118,yelzAADL_mQ
This SUV will make the Fortuner worry?,2022-10-18T08:22:32Z,521568,6613,,507,saV4Ff8g3RY
This is the New Safest Car in India!,2022-10-17T14:30:03Z,318586,8702,,733,CYkpTHOjO3I
Should you buy Electric Car or Hybrid?,2022-10-17T11:13:48Z,39292,2577,,82,U_WOhUiavSo
Mahindra offers NEW POWERFUL engine,2022-10-17T08:33:12Z,144104,9096,,83,Z3K8xWxig8Y
Rs 2 crore car - BUT No AC 😳,2022-10-14T14:30:16Z,272654,27393,,239,etiZpkSd-h0
Audi’s HIDDEN FEATURE,2022-10-14T09:06:22Z,95456,8387,,34,nibAGPJPGqc
Tata Safari gets this AMAZING Feature,2022-10-13T06:30:15Z,164789,11116,,75,btMphelcZrk
Increase you car ground clearance,2022-10-12T10:21:37Z,73286,6210,,44,5Y-lP5n1o-A
Rs 7 lakh Electric Car for India - CHEAPEST,2022-10-10T07:15:29Z,539594,27956,,1177,dr2yDZMWukI
Best Rs 15 lakh SUV in India to buy - LIVE,2022-10-09T06:34:58Z,29398,1225,,98,zgEtuSZ5uPk
4 Types of Car Boot User - Which one are you?,2022-10-08T10:47:23Z,249899,14236,,114,bIklbMtrD_g
Hero Vida V1 - EV gamechanger?,2022-10-07T12:28:43Z,341394,4989,,674,12ihd5aQhao
Best Steering Wheel in any Car!,2022-10-07T09:24:50Z,253488,18862,,91,yIu-leQHnms
Rs 8 lakh Honda SUV For India!,2022-10-04T09:35:54Z,74703,3771,,50,eyoNdTrxJ1w
